2025-11-10 11:53:31 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-11-10 11:53:31 [restartedMain] INFO  com.argu.ArguUserApplication - Starting ArguUserApplication using Java 17.0.16 with PID 29160 (D:\vs\Argu\ArguUser\ArguUserBackEnd\build\classes\java\main started by EdwinYoo in d:\vs\Argu\ArguUser\ArguUserBackEnd)
2025-11-10 11:53:31 [restartedMain] DEBUG com.argu.ArguUserApplication - Running with Spring Boot v3.2.0, Spring v6.1.1
2025-11-10 11:53:31 [restartedMain] INFO  com.argu.ArguUserApplication - No active profile set, falling back to 1 default profile: "default"
2025-11-10 11:53:31 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-11-10 11:53:31 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-11-10 11:53:32 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-11-10 11:53:32 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 64 ms. Found 9 JPA repository interfaces.
2025-11-10 11:53:33 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-11-10 11:53:33 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-11-10 11:53:33 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-11-10 11:53:33 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.16]
2025-11-10 11:53:33 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-11-10 11:53:33 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2056 ms
2025-11-10 11:53:34 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-11-10 11:53:34 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.3.1.Final
2025-11-10 11:53:34 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-11-10 11:53:34 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-11-10 11:53:34 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-11-10 11:53:35 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@54ceeb32
2025-11-10 11:53:35 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-11-10 11:53:35 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-11-10 11:53:35 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2025-11-10 11:53:36 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-11-10 11:53:36 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-11-10 11:53:36 [restartedMain] DEBUG c.a.security.JwtAuthenticationFilter - Filter 'jwtAuthenticationFilter' configured for use
2025-11-10 11:53:36 [restartedMain] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-11-10 11:53:37 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-11-10 11:53:38 [restartedMain] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 3 endpoint(s) beneath base path '/actuator'
2025-11-10 11:53:38 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@55edd073, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3d270206, org.springframework.security.web.context.SecurityContextHolderFilter@134a0349, org.springframework.security.web.header.HeaderWriterFilter@7129f03d, org.springframework.web.filter.CorsFilter@e8ca2eb, org.springframework.security.web.authentication.logout.LogoutFilter@a62229, com.argu.security.JwtAuthenticationFilter@7ecf8feb, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2b852224, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3194297d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3a0858ea, org.springframework.security.web.session.SessionManagementFilter@2da3565f, org.springframework.security.web.access.ExceptionTranslationFilter@5b03d3d0, org.springframework.security.web.access.intercept.AuthorizationFilter@56b55bb9]
2025-11-10 11:53:39 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-11-10 11:53:39 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-11-10 11:53:39 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2025-11-10 11:53:39 [restartedMain] INFO  com.argu.ArguUserApplication - Started ArguUserApplication in 8.066 seconds (process running for 8.504)
2025-11-10 11:53:40 [RMI TCP Connection(2)-127.0.0.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-11-10 11:53:40 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-11-10 11:53:40 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2025-11-10 11:55:28 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-11-10 11:55:28 [restartedMain] INFO  com.argu.ArguUserApplication - Starting ArguUserApplication using Java 17.0.16 with PID 26828 (D:\vs\Argu\ArguUser\ArguUserBackEnd\build\classes\java\main started by EdwinYoo in d:\vs\Argu\ArguUser\ArguUserBackEnd)
2025-11-10 11:55:28 [restartedMain] DEBUG com.argu.ArguUserApplication - Running with Spring Boot v3.2.0, Spring v6.1.1
2025-11-10 11:55:28 [restartedMain] INFO  com.argu.ArguUserApplication - No active profile set, falling back to 1 default profile: "default"
2025-11-10 11:55:28 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-11-10 11:55:28 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-11-10 11:55:29 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-11-10 11:55:29 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 71 ms. Found 9 JPA repository interfaces.
2025-11-10 11:55:30 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-11-10 11:55:30 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-11-10 11:55:30 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-11-10 11:55:30 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.16]
2025-11-10 11:55:30 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-11-10 11:55:30 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2067 ms
2025-11-10 11:55:31 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-11-10 11:55:31 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.3.1.Final
2025-11-10 11:55:31 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-11-10 11:55:31 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-11-10 11:55:31 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-11-10 11:55:31 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@2da652e9
2025-11-10 11:55:31 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-11-10 11:55:31 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-11-10 11:55:31 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2025-11-10 11:55:32 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-11-10 11:55:32 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-11-10 11:55:33 [restartedMain] DEBUG c.a.security.JwtAuthenticationFilter - Filter 'jwtAuthenticationFilter' configured for use
2025-11-10 11:55:33 [restartedMain] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-11-10 11:55:34 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-11-10 11:55:35 [restartedMain] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 3 endpoint(s) beneath base path '/actuator'
2025-11-10 11:55:35 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@31cff6c9, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6ef69769, org.springframework.security.web.context.SecurityContextHolderFilter@d116855, org.springframework.security.web.header.HeaderWriterFilter@7307440c, org.springframework.web.filter.CorsFilter@62fdcf54, org.springframework.security.web.authentication.logout.LogoutFilter@e0a54bc, com.argu.security.JwtAuthenticationFilter@74e1f252, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@24dc89f0, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@299c46d3, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7bb55389, org.springframework.security.web.session.SessionManagementFilter@3a36ab94, org.springframework.security.web.access.ExceptionTranslationFilter@460a6676, org.springframework.security.web.access.intercept.AuthorizationFilter@ac7b985]
2025-11-10 11:55:35 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-11-10 11:55:35 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-11-10 11:55:35 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2025-11-10 11:55:35 [restartedMain] INFO  com.argu.ArguUserApplication - Started ArguUserApplication in 7.858 seconds (process running for 8.301)
2025-11-10 11:55:37 [RMI TCP Connection(2)-127.0.0.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-11-10 11:55:37 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-11-10 11:55:37 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
